SKU|name|description|vintage|unit-size|price|stock|url|min-order|tax|offer-type|delivery-time|LWIN|imageurl
5229023|La Ferme du Pasteur 'Coquin de Sort' 2023||2023|750ml|36.00|3|https://www.magazzinonyc.com/s/shop?query=La%20Ferme%20du%20Pasteur%20'Coquin%20de%20Sort'%202023||Inc.tax|R|Next day||
7528081|La Ferme du Pasteur 'Font du Loup' 2023||2023|750ml|39.00|0|https://www.magazzinonyc.com/s/shop?query=La%20Ferme%20du%20Pasteur%20'Font%20du%20Loup'%202023||Inc.tax|R|Next day||
706112R|Domaine Dandelion 'Hautes Cotes Nature' 2023||2023|750ml|93.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20Dandelion%20'Hautes%20Cotes%20Nature'%202023||Inc.tax|R|Next day||
4684436|Domaine Dandelion 'Fruit Defendu Coteaux Bourguignons' 2023||2023|750ml|109.00|1|https://www.magazzinonyc.com/s/shop?query=Domaine%20Dandelion%20'Fruit%20Defendu%20Coteaux%20Bourguignons'%202023||Inc.tax|R|Next day||
F206626|Domaine Dandelion 'Sur la Plage Hautes Côtes de Beaune' 2023||2023|750ml|86.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20Dandelion%20'Sur%20la%20Plage%20Hautes%20C%C3%B4tes%20de%20Beaune'%202023||Inc.tax|R|Next day||
1985837|Domaine Dandelion 'Pinot Zinc' 2023||2023|750ml|81.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20Dandelion%20'Pinot%20Zinc'%202023||Inc.tax|R|Next day||
386443V|Domaine Dandelion 'Pet' Nat'' NV||NV|750ml|56.00|0|https://www.magazzinonyc.com/s/shop?query=Domaine%20Dandelion%20'Pet'%20Nat''%20NV||Inc.tax|R|Next day||
294626W|Fabio Ferracane 'Guancianera' 2023||2023|750ml|29.00|6|https://www.magazzinonyc.com/s/shop?query=Fabio%20Ferracane%20'Guancianera'%202023||Inc.tax|R|Next day||
3041677|Julien Rousselot 'Haute Voltige' 2023||2023|750ml|29.00|0|https://www.magazzinonyc.com/s/shop?query=Julien%20Rousselot%20'Haute%20Voltige'%202023||Inc.tax|R|Next day||
V125469|Julien Rousselot 'La Belle Excuse' 2023||2023|750ml|25.00|0|https://www.magazzinonyc.com/s/shop?query=Julien%20Rousselot%20'La%20Belle%20Excuse'%202023||Inc.tax|R|Next day||
4314015|Clos des Grillons 'Dimanche' 2023||2023|750ml|47.00|4|https://www.magazzinonyc.com/s/shop?query=Clos%20des%20Grillons%20'Dimanche'%202023||Inc.tax|R|Next day||
